forecast_id,region_code,year_month,ingested_at,precipitation_mm,drought_risk_score,flood_risk_score,seasonal_baseline_mm,source
646,ET-BA,2026-04,2026-06-19 09:59:07+00,95.4,10.12,53.84,127.35,open_meteo_archive
647,ET-BA,2026-05,2026-06-19 09:59:07+00,91.9,7.96,46.19,78.03,open_meteo_archive
648,ET-BA,2026-06,2026-06-19 09:59:07+00,33.3,1.42,97.58,19.51,open_meteo_forecast
703,ET-ES,2022-01,2026-06-19 09:59:44+00,13.5,0.0,82.79,3.54,open_meteo_archive
704,ET-ES,2022-02,2026-06-19 09:59:44+00,1.3,0.0,58.58,9.82,open_meteo_archive
705,ET-ES,2022-03,2026-06-19 09:59:44+00,22.2,1.18,34.17,58.29,open_meteo_archive
706,ET-ES,2022-04,2026-06-19 09:59:44+00,30.8,6.96,25.56,72.36,open_meteo_archive
707,ET-ES,2022-05,2026-06-19 09:59:44+00,0.8,9.75,11.31,61.87,open_meteo_archive
708,ET-ES,2022-06,2026-06-19 09:59:44+00,64.9,0.96,52.5,49.83,open_meteo_archive
709,ET-ES,2022-07,2026-06-19 09:59:44+00,109.1,11.63,46.64,112.06,open_meteo_archive
710,ET-ES,2022-08,2026-06-19 09:59:44+00,124.9,12.85,67.08,117.66,open_meteo_archive
711,ET-ES,2022-09,2026-06-19 09:59:44+00,164.3,2.99,87.23,104.94,open_meteo_archive
712,ET-ES,2022-10,2026-06-19 09:59:44+00,18.6,1.11,49.64,39.87,open_meteo_archive
713,ET-ES,2022-11,2026-06-19 09:59:44+00,5.0,0.0,42.45,8.1,open_meteo_archive
714,ET-ES,2022-12,2026-06-19 09:59:44+00,5.6,0.0,53.87,1.91,open_meteo_archive
715,ET-ES,2023-01,2026-06-19 09:59:44+00,2.3,0.0,77.22,3.54,open_meteo_archive
716,ET-ES,2023-02,2026-06-19 09:59:44+00,6.5,0.0,35.43,9.82,open_meteo_archive
717,ET-ES,2023-03,2026-06-19 09:59:44+00,133.0,0.18,86.26,58.29,open_meteo_archive
718,ET-ES,2023-04,2026-06-19 09:59:44+00,121.3,3.05,67.2,72.36,open_meteo_archive
719,ET-ES,2023-05,2026-06-19 09:59:44+00,143.3,2.62,86.97,61.87,open_meteo_archive
720,ET-ES,2023-06,2026-06-19 09:59:44+00,72.1,3.3,81.04,49.83,open_meteo_archive
721,ET-ES,2023-07,2026-06-19 09:59:44+00,128.5,13.42,61.79,112.06,open_meteo_archive
722,ET-ES,2023-08,2026-06-19 09:59:44+00,109.8,17.44,54.05,117.66,open_meteo_archive
723,ET-ES,2023-09,2026-06-19 09:59:44+00,159.7,8.16,69.53,104.94,open_meteo_archive
724,ET-ES,2023-10,2026-06-19 09:59:44+00,29.2,4.97,50.24,39.87,open_meteo_archive
725,ET-ES,2023-11,2026-06-19 09:59:44+00,9.5,0.0,85.4,8.1,open_meteo_archive
726,ET-ES,2023-12,2026-06-19 09:59:44+00,0.0,0.0,65.25,1.91,open_meteo_archive
727,ET-ES,2024-01,2026-06-19 09:59:44+00,1.7,0.0,28.24,3.54,open_meteo_archive
728,ET-ES,2024-02,2026-06-19 09:59:44+00,25.0,0.0,85.93,10.65,open_meteo_archive
729,ET-ES,2024-03,2026-06-19 09:59:44+00,95.6,1.0,64.67,59.64,open_meteo_archive
730,ET-ES,2024-04,2026-06-19 09:59:44+00,141.0,2.46,85.97,73.02,open_meteo_archive
731,ET-ES,2024-05,2026-06-19 09:59:44+00,34.2,2.28,59.71,60.31,open_meteo_archive
732,ET-ES,2024-06,2026-06-19 09:59:44+00,32.5,2.92,26.61,51.27,open_meteo_archive
733,ET-ES,2024-07,2026-06-19 09:59:44+00,132.4,11.58,69.91,113.24,open_meteo_archive
734,ET-ES,2024-08,2026-06-19 09:59:44+00,113.4,13.82,43.31,117.37,open_meteo_archive
735,ET-ES,2024-09,2026-06-19 09:59:44+00,68.6,17.78,27.89,104.06,open_meteo_archive
736,ET-ES,2024-10,2026-06-19 09:59:44+00,61.1,0.48,57.92,37.56,open_meteo_archive
737,ET-ES,2024-11,2026-06-19 09:59:44+00,12.0,0.0,80.82,7.76,open_meteo_archive
738,ET-ES,2024-12,2026-06-19 09:59:44+00,0.0,0.0,59.66,1.84,open_meteo_archive
739,ET-ES,2025-01,2026-06-19 09:59:44+00,0.0,0.0,19.16,3.54,open_meteo_archive
740,ET-ES,2025-02,2026-06-19 09:59:44+00,0.1,0.0,10.72,9.82,open_meteo_archive
741,ET-ES,2025-03,2026-06-19 09:59:44+00,61.7,0.41,48.68,58.29,open_meteo_archive
742,ET-ES,2025-04,2026-06-19 09:59:44+00,27.6,9.0,38.57,72.36,open_meteo_archive
743,ET-ES,2025-05,2026-06-19 09:59:44+00,62.0,4.85,50.8,61.87,open_meteo_archive
744,ET-ES,2025-06,2026-06-19 09:59:44+00,14.3,4.63,22.1,49.83,open_meteo_archive
745,ET-ES,2025-07,2026-06-19 09:59:44+00,76.6,15.4,25.06,112.06,open_meteo_archive
746,ET-ES,2025-08,2026-06-19 09:59:44+00,167.1,9.96,74.88,117.66,open_meteo_archive
747,ET-ES,2025-09,2026-06-19 09:59:44+00,62.6,13.44,32.39,104.94,open_meteo_archive
748,ET-ES,2025-10,2026-06-19 09:59:44+00,19.9,2.34,27.78,39.87,open_meteo_archive
749,ET-ES,2025-11,2026-06-19 09:59:44+00,0.0,0.0,13.1,8.1,open_meteo_archive
750,ET-ES,2025-12,2026-06-19 09:59:44+00,1.9,0.0,39.5,1.91,open_meteo_archive
751,ET-ES,2026-01,2026-06-19 09:59:44+00,0.3,0.0,50.24,3.54,open_meteo_archive
752,ET-ES,2026-02,2026-06-19 09:59:44+00,0.8,0.0,36.31,9.82,open_meteo_archive
753,ET-ES,2026-03,2026-06-19 09:59:44+00,86.6,0.24,62.9,58.29,open_meteo_archive
754,ET-ES,2026-04,2026-06-19 09:59:44+00,37.2,3.8,51.06,72.36,open_meteo_archive
755,ET-ES,2026-05,2026-06-19 09:59:44+00,67.5,5.31,42.22,61.87,open_meteo_archive
756,ET-ES,2026-06,2026-06-19 09:59:44+00,25.2,2.88,75.11,25.01,open_meteo_forecast
757,ET-SI,2022-01,2026-06-19 10:00:24+00,42.3,0.0,87.29,8.41,open_meteo_archive
758,ET-SI,2022-02,2026-06-19 10:00:24+00,2.5,0.0,61.18,18.75,open_meteo_archive
759,ET-SI,2022-03,2026-06-19 10:00:24+00,53.7,3.58,33.04,102.92,open_meteo_archive
760,ET-SI,2022-04,2026-06-19 10:00:24+00,69.5,10.57,27.97,110.33,open_meteo_archive
761,ET-SI,2022-05,2026-06-19 10:00:24+00,7.5,18.05,8.97,78.88,open_meteo_archive
762,ET-SI,2022-06,2026-06-19 10:00:24+00,103.5,5.51,45.07,71.43,open_meteo_archive
763,ET-SI,2022-07,2026-06-19 10:00:24+00,233.1,7.69,84.45,151.89,open_meteo_archive
764,ET-SI,2022-08,2026-06-19 10:00:24+00,278.2,6.11,88.49,183.25,open_meteo_archive
765,ET-SI,2022-09,2026-06-19 10:00:24+00,230.7,7.9,71.63,195.36,open_meteo_archive
766,ET-SI,2022-10,2026-06-19 10:00:24+00,83.6,1.33,60.35,90.52,open_meteo_archive
767,ET-SI,2022-11,2026-06-19 10:00:24+00,22.8,0.0,59.7,20.08,open_meteo_archive
768,ET-SI,2022-12,2026-06-19 10:00:24+00,3.3,0.0,60.8,3.37,open_meteo_archive
769,ET-SI,2023-01,2026-06-19 10:00:24+00,0.4,0.0,44.24,8.41,open_meteo_archive
770,ET-SI,2023-02,2026-06-19 10:00:24+00,14.6,0.0,14.92,18.75,open_meteo_archive
771,ET-SI,2023-03,2026-06-19 10:00:24+00,222.1,0.42,84.17,102.92,open_meteo_archive
772,ET-SI,2023-04,2026-06-19 10:00:24+00,170.0,4.45,78.51,110.33,open_meteo_archive
773,ET-SI,2023-05,2026-06-19 10:00:24+00,156.8,3.55,86.32,78.88,open_meteo_archive
774,ET-SI,2023-06,2026-06-19 10:00:24+00,109.8,8.6,86.28,71.43,open_meteo_archive
775,ET-SI,2023-07,2026-06-19 10:00:24+00,71.5,19.46,23.02,151.89,open_meteo_archive
776,ET-SI,2023-08,2026-06-19 10:00:24+00,109.2,24.52,15.82,183.25,open_meteo_archive
777,ET-SI,2023-09,2026-06-19 10:00:24+00,227.1,10.1,46.5,195.36,open_meteo_archive
778,ET-SI,2023-10,2026-06-19 10:00:24+00,71.0,10.26,38.88,90.52,open_meteo_archive
779,ET-SI,2023-11,2026-06-19 10:00:24+00,12.5,0.0,76.95,20.08,open_meteo_archive
780,ET-SI,2023-12,2026-06-19 10:00:24+00,0.1,0.0,56.5,3.37,open_meteo_archive
781,ET-SI,2024-01,2026-06-19 10:00:24+00,3.1,0.0,33.09,8.41,open_meteo_archive
782,ET-SI,2024-02,2026-06-19 10:00:24+00,29.9,0.0,79.07,20.31,open_meteo_archive
783,ET-SI,2024-03,2026-06-19 10:00:24+00,100.9,3.14,55.81,105.53,open_meteo_archive
784,ET-SI,2024-04,2026-06-19 10:00:24+00,133.9,4.37,63.14,109.78,open_meteo_archive
785,ET-SI,2024-05,2026-06-19 10:00:24+00,50.4,7.28,47.53,76.84,open_meteo_archive
786,ET-SI,2024-06,2026-06-19 10:00:24+00,41.0,18.3,26.51,73.4,open_meteo_archive
787,ET-SI,2024-07,2026-06-19 10:00:24+00,126.0,13.21,34.09,154.19,open_meteo_archive
788,ET-SI,2024-08,2026-06-19 10:00:24+00,256.5,7.1,76.25,183.57,open_meteo_archive
789,ET-SI,2024-09,2026-06-19 10:00:24+00,168.7,13.56,48.13,194.68,open_meteo_archive
790,ET-SI,2024-10,2026-06-19 10:00:24+00,129.7,0.22,60.25,86.26,open_meteo_archive
791,ET-SI,2024-11,2026-06-19 10:00:24+00,43.8,0.0,81.51,18.93,open_meteo_archive
792,ET-SI,2024-12,2026-06-19 10:00:24+00,0.0,0.0,51.06,3.27,open_meteo_archive
793,ET-SI,2025-01,2026-06-19 10:00:24+00,2.5,0.0,44.97,8.41,open_meteo_archive
794,ET-SI,2025-02,2026-06-19 10:00:24+00,0.1,0.0,26.94,18.75,open_meteo_archive
795,ET-SI,2025-03,2026-06-19 10:00:24+00,163.8,1.12,55.43,102.92,open_meteo_archive
796,ET-SI,2025-04,2026-06-19 10:00:24+00,46.4,16.4,38.82,110.33,open_meteo_archive
797,ET-SI,2025-05,2026-06-19 10:00:24+00,78.2,7.8,48.16,78.88,open_meteo_archive
798,ET-SI,2025-06,2026-06-19 10:00:24+00,33.7,15.81,35.44,71.43,open_meteo_archive
799,ET-SI,2025-07,2026-06-19 10:00:24+00,146.8,10.11,50.49,151.89,open_meteo_archive
800,ET-SI,2025-08,2026-06-19 10:00:24+00,172.5,13.04,45.56,183.25,open_meteo_archive
801,ET-SI,2025-09,2026-06-19 10:00:24+00,201.1,12.09,50.24,195.36,open_meteo_archive
802,ET-SI,2025-10,2026-06-19 10:00:24+00,35.7,4.4,31.43,90.52,open_meteo_archive
803,ET-SI,2025-11,2026-06-19 10:00:24+00,0.0,0.0,14.3,20.08,open_meteo_archive
804,ET-SI,2025-12,2026-06-19 10:00:24+00,9.5,0.0,52.23,3.37,open_meteo_archive
805,ET-SI,2026-01,2026-06-19 10:00:24+00,0.5,0.0,48.23,8.41,open_meteo_archive
806,ET-SI,2026-02,2026-06-19 10:00:24+00,2.0,0.0,41.26,18.75,open_meteo_archive
807,ET-SI,2026-03,2026-06-19 10:00:24+00,189.3,0.73,67.08,102.92,open_meteo_archive
808,ET-SI,2026-04,2026-06-19 10:00:24+00,104.7,6.74,69.66,110.33,open_meteo_archive
809,ET-SI,2026-05,2026-06-19 10:00:24+00,59.9,10.93,39.63,78.88,open_meteo_archive
810,ET-SI,2026-06,2026-06-19 10:00:24+00,39.1,2.94,67.96,34.05,open_meteo_forecast
649,ET-WA,2022-01,2026-06-19 09:59:24+00,27.5,0.0,68.1,6.95,open_meteo_archive
650,ET-WA,2022-02,2026-06-19 09:59:24+00,2.0,0.0,60.75,14.53,open_meteo_archive
651,ET-WA,2022-03,2026-06-19 09:59:24+00,37.3,4.77,33.68,85.56,open_meteo_archive
652,ET-WA,2022-04,2026-06-19 09:59:24+00,76.5,11.42,28.73,108.37,open_meteo_archive
653,ET-WA,2022-05,2026-06-19 09:59:24+00,17.6,29.24,11.54,93.67,open_meteo_archive
654,ET-WA,2022-06,2026-06-19 09:59:24+00,62.7,13.59,34.84,75.76,open_meteo_archive
655,ET-WA,2022-07,2026-06-19 09:59:24+00,74.1,20.39,21.1,101.04,open_meteo_archive
656,ET-WA,2022-08,2026-06-19 09:59:24+00,172.4,11.71,54.4,138.56,open_meteo_archive
657,ET-WA,2022-09,2026-06-19 09:59:24+00,193.9,12.65,78.47,173.87,open_meteo_archive
658,ET-WA,2022-10,2026-06-19 09:59:24+00,172.6,5.91,78.13,118.73,open_meteo_archive
659,ET-WA,2022-11,2026-06-19 09:59:24+00,17.6,1.68,51.42,29.36,open_meteo_archive
660,ET-WA,2022-12,2026-06-19 09:59:24+00,8.1,0.0,42.9,6.66,open_meteo_archive
661,ET-WA,2023-01,2026-06-19 09:59:24+00,2.8,0.0,67.64,6.95,open_meteo_archive
662,ET-WA,2023-02,2026-06-19 09:59:24+00,12.2,0.0,24.35,14.53,open_meteo_archive
663,ET-WA,2023-03,2026-06-19 09:59:24+00,179.8,1.04,82.38,85.56,open_meteo_archive
664,ET-WA,2023-04,2026-06-19 09:59:24+00,174.5,5.07,77.58,108.37,open_meteo_archive
665,ET-WA,2023-05,2026-06-19 09:59:24+00,149.0,3.71,87.08,93.67,open_meteo_archive
666,ET-WA,2023-06,2026-06-19 09:59:24+00,138.8,4.48,89.4,75.76,open_meteo_archive
667,ET-WA,2023-07,2026-06-19 09:59:24+00,80.7,16.93,40.75,101.04,open_meteo_archive
668,ET-WA,2023-08,2026-06-19 09:59:24+00,62.1,29.27,16.23,138.56,open_meteo_archive
669,ET-WA,2023-09,2026-06-19 09:59:24+00,231.5,12.54,65.25,173.87,open_meteo_archive
670,ET-WA,2023-10,2026-06-19 09:59:24+00,115.9,19.18,37.02,118.73,open_meteo_archive
671,ET-WA,2023-11,2026-06-19 09:59:24+00,41.9,0.24,82.88,29.36,open_meteo_archive
672,ET-WA,2023-12,2026-06-19 09:59:24+00,1.9,0.0,61.24,6.66,open_meteo_archive
673,ET-WA,2024-01,2026-06-19 09:59:24+00,2.8,0.0,30.33,6.95,open_meteo_archive
674,ET-WA,2024-02,2026-06-19 09:59:24+00,22.7,0.0,78.07,15.85,open_meteo_archive
675,ET-WA,2024-03,2026-06-19 09:59:24+00,94.4,2.61,57.8,87.7,open_meteo_archive
676,ET-WA,2024-04,2026-06-19 09:59:24+00,105.9,5.59,52.28,109.04,open_meteo_archive
677,ET-WA,2024-05,2026-06-19 09:59:24+00,53.0,18.79,41.88,91.81,open_meteo_archive
678,ET-WA,2024-06,2026-06-19 09:59:24+00,45.7,19.58,24.16,76.18,open_meteo_archive
679,ET-WA,2024-07,2026-06-19 09:59:24+00,131.1,10.03,53.57,102.17,open_meteo_archive
680,ET-WA,2024-08,2026-06-19 09:59:24+00,189.2,7.24,86.18,140.43,open_meteo_archive
681,ET-WA,2024-09,2026-06-19 09:59:24+00,157.6,9.99,48.73,173.22,open_meteo_archive
682,ET-WA,2024-10,2026-06-19 09:59:24+00,154.1,4.38,54.44,115.77,open_meteo_archive
683,ET-WA,2024-11,2026-06-19 09:59:24+00,36.0,0.63,76.77,27.52,open_meteo_archive
684,ET-WA,2024-12,2026-06-19 09:59:24+00,0.0,0.0,50.0,6.43,open_meteo_archive
685,ET-WA,2025-01,2026-06-19 09:59:24+00,0.9,0.0,19.59,6.95,open_meteo_archive
686,ET-WA,2025-02,2026-06-19 09:59:24+00,0.0,0.0,12.69,14.53,open_meteo_archive
687,ET-WA,2025-03,2026-06-19 09:59:24+00,95.3,2.01,41.92,85.56,open_meteo_archive
688,ET-WA,2025-04,2026-06-19 09:59:24+00,66.0,18.49,40.14,108.37,open_meteo_archive
689,ET-WA,2025-05,2026-06-19 09:59:24+00,83.0,10.78,40.73,93.67,open_meteo_archive
690,ET-WA,2025-06,2026-06-19 09:59:24+00,72.8,13.82,53.37,75.76,open_meteo_archive
691,ET-WA,2025-07,2026-06-19 09:59:24+00,99.6,9.89,65.08,101.04,open_meteo_archive
692,ET-WA,2025-08,2026-06-19 09:59:24+00,133.2,7.62,36.38,138.56,open_meteo_archive
693,ET-WA,2025-09,2026-06-19 09:59:24+00,148.2,11.6,38.88,173.87,open_meteo_archive
694,ET-WA,2025-10,2026-06-19 09:59:24+00,90.3,8.36,38.09,118.73,open_meteo_archive
695,ET-WA,2025-11,2026-06-19 09:59:24+00,2.9,0.9,17.38,29.36,open_meteo_archive
696,ET-WA,2025-12,2026-06-19 09:59:24+00,21.1,0.0,56.2,6.66,open_meteo_archive
697,ET-WA,2026-01,2026-06-19 09:59:24+00,0.9,0.0,66.13,6.95,open_meteo_archive
698,ET-WA,2026-02,2026-06-19 09:59:24+00,2.4,0.0,42.9,14.53,open_meteo_archive
699,ET-WA,2026-03,2026-06-19 09:59:24+00,190.2,1.06,81.65,85.56,open_meteo_archive
700,ET-WA,2026-04,2026-06-19 09:59:24+00,118.1,4.74,69.98,108.37,open_meteo_archive
701,ET-WA,2026-05,2026-06-19 09:59:24+00,106.0,6.61,62.07,93.67,open_meteo_archive
702,ET-WA,2026-06,2026-06-19 09:59:24+00,51.8,2.87,88.6,32.09,open_meteo_forecast
541,KE-CT,2022-01,2026-06-19 09:58:45+00,13.0,1.86,18.78,33.38,open_meteo_archive
542,KE-CT,2022-02,2026-06-19 09:58:45+00,16.5,0.0,38.42,40.36,open_meteo_archive
543,KE-CT,2022-03,2026-06-19 09:58:45+00,13.2,7.43,17.0,84.37,open_meteo_archive
544,KE-CT,2022-04,2026-06-19 09:58:45+00,100.8,14.53,24.61,132.49,open_meteo_archive
545,KE-CT,2022-05,2026-06-19 09:58:45+00,18.3,12.31,15.96,111.88,open_meteo_archive
546,KE-CT,2022-06,2026-06-19 09:58:45+00,46.8,2.88,39.87,38.05,open_meteo_archive
547,KE-CT,2022-07,2026-06-19 09:58:45+00,67.2,10.04,45.1,111.14,open_meteo_archive
548,KE-CT,2022-08,2026-06-19 09:58:45+00,181.1,5.35,63.22,140.3,open_meteo_archive
549,KE-CT,2022-09,2026-06-19 09:58:45+00,148.2,9.75,73.12,125.97,open_meteo_archive
550,KE-CT,2022-10,2026-06-19 09:58:45+00,81.8,17.09,31.88,127.85,open_meteo_archive
551,KE-CT,2022-11,2026-06-19 09:58:45+00,92.1,8.63,39.05,117.09,open_meteo_archive
552,KE-CT,2022-12,2026-06-19 09:58:45+00,62.5,7.04,46.11,68.91,open_meteo_archive
553,KE-CT,2023-01,2026-06-19 09:58:45+00,10.5,1.23,28.49,33.38,open_meteo_archive
